id,city,sqft,bedrooms,bathrooms,year_built,lot_size,price
1,Springfield,752,1,1,1978,3286,95800
2,Fairview,1006,2,1,1953,2535,117000
3,Rivertown,1602,1,1,2019,7873,269600
4,Springfield,3758,5,5,1993,5552,568700
5,Rivertown,1531,2,1,1961,7224,258300
6,Fairview,1733,1,2,2018,3045,263600
7,Lakeview,972,1,1,2023,4150,186200
8,Rivertown,3816,5,3,1979,2654,572100
9,Lakeview,1788,3,2,1970,7065,310700
10,Springfield,3145,4,3,1970,8573,465700
11,Lakeview,1755,2,2,1957,4752,309900
12,Lakeview,1746,1,1,2022,6155,285600
13,Rivertown,3334,5,5,2008,3340,543500
14,Fairview,2857,4,4,2001,6930,453300
15,Rivertown,1216,3,1,1956,2796,185000
16,Lakeview,3092,3,3,1998,10763,588000
17,Lakeview,2817,4,2,1964,9797,509300
18,Maplewood,1106,1,2,1970,8433,129100
19,Springfield,3607,5,4,2014,2743,519000
20,Fairview,3144,4,3,1997,646,433300
21,Fairview,3839,4,3,2012,1319,558400
22,Maplewood,1630,1,1,2022,2290,201600
23,Springfield,3647,6,3,2018,3060,535200
24,Fairview,1326,2,3,1977,9835,229100
25,Rivertown,3570,5,5,1997,8177,624200
26,Rivertown,1570,1,1,1952,10638,232200
27,Fairview,1592,2,1,1959,11339,242200
28,Springfield,4171,6,3,2015,4899,584000
29,Maplewood,3390,6,4,2019,3167,429300
30,Fairview,2586,3,3,2002,4119,329100
31,Springfield,1047,2,2,2004,7735,155600
32,Springfield,898,2,2,1963,5073,130900
33,Rivertown,1429,3,2,2004,4006,242600
34,Springfield,2465,2,1,2019,1241,333600
35,Springfield,3736,5,4,2002,8956,470400
36,Springfield,1324,3,1,1999,5345,199500
37,Lakeview,1818,3,3,1969,4111,312300
38,Fairview,3663,4,3,1957,1821,566100
39,Fairview,2602,3,1,2015,2312,368100
40,Springfield,3415,5,5,1965,10333,482600
41,Rivertown,3021,3,1,2003,11770,457400
42,Maplewood,1486,2,2,1983,7484,186700
43,Rivertown,3401,5,5,1990,2188,587300
44,Fairview,1059,1,1,2014,5345,163500
45,Rivertown,2079,2,2,1997,5669,349000
46,Maplewood,3155,3,2,1963,3200,394800
47,Maplewood,1122,1,1,1984,5616,126100
48,Rivertown,3465,5,5,1982,1832,513900
49,Springfield,3248,5,4,1955,1058,422200
50,Maplewood,1311,3,3,2021,1158,186200
51,Springfield,958,1,1,1997,10543,145000
52,Springfield,1912,3,1,1995,4441,257200
53,Rivertown,3381,4,3,2021,7658,607000
54,Rivertown,4191,6,4,2002,1406,645100
55,Rivertown,3666,5,5,1981,5371,616900
56,Lakeview,808,2,2,1975,8541,188500
57,Maplewood,1900,3,2,1953,11813,253200
58,Springfield,3817,5,4,2015,7548,571300
59,Fairview,2006,2,1,1983,3925,231300
60,Springfield,1094,2,2,1990,8149,158900
61,Fairview,2744,3,3,2023,4114,402600
62,Springfield,2779,4,3,2005,2146,418600
63,Maplewood,3202,4,2,1988,9308,392100
64,Lakeview,3505,5,4,1974,7888,675400
65,Lakeview,3424,5,4,2001,9977,666400
66,Rivertown,2410,3,3,2006,8244,387000
67,Rivertown,2743,5,4,1960,5649,406900
68,Maplewood,1032,1,1,1978,4262,119200
69,Rivertown,750,1,1,2010,11015,158700
70,Lakeview,3229,4,4,2013,7547,592700
71,Rivertown,1254,1,1,2004,4585,210900
72,Fairview,2552,2,2,1965,8478,404600
73,Rivertown,3932,6,4,2006,11037,693900
74,Lakeview,4052,6,4,2010,8373,667700
75,Maplewood,3729,5,4,2016,8939,468600
76,Springfield,3572,5,4,1984,6502,481500
77,Maplewood,2862,3,2,1969,4788,327400
78,Rivertown,913,2,3,1992,9890,193600
79,Lakeview,2353,2,2,2003,7381,453000
80,Springfield,4159,6,5,1950,6763,544800
81,Maplewood,3736,6,5,2018,9947,522000
82,Lakeview,1548,2,3,2012,1475,250400
83,Lakeview,2026,4,3,2009,3091,414700
84,Lakeview,3074,3,1,2004,3223,517100
85,Lakeview,1394,1,1,1998,6363,253200
86,Lakeview,1789,3,2,1960,8705,348300
87,Springfield,3718,4,3,1978,11651,588600
88,Springfield,3739,4,3,1975,1333,513400
89,Fairview,1274,2,2,2010,11968,252100
90,Lakeview,3515,5,4,1971,10926,715300
91,Fairview,3713,4,3,1989,2771,452400
92,Fairview,3424,6,5,1975,2245,467400
93,Fairview,3478,5,3,1988,10837,542100
94,Fairview,3855,4,3,2018,8018,507600
